08:58:33.743 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - maven
08:58:33.744 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
09:11:36.765 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
09:11:36.767 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
16:32:36.167 [ApplicationImpl pooled thread 174] INFO  c.b.l.BrowserStackRunExtension - cucumber java
16:32:36.168 [ApplicationImpl pooled thread 174] INFO  com.browserstack.utils.Helpers - null
16:32:36.168 [ApplicationImpl pooled thread 174] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:36:12.589 [ApplicationImpl pooled thread 187] INFO  c.b.l.BrowserStackRunExtension - cucumber java
16:36:12.589 [ApplicationImpl pooled thread 187] INFO  com.browserstack.utils.Helpers - null
16:36:12.589 [ApplicationImpl pooled thread 187] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:39:06.592 [ApplicationImpl pooled thread 192] INFO  c.b.l.BrowserStackRunExtension - cucumber java
16:39:06.592 [ApplicationImpl pooled thread 192] INFO  com.browserstack.utils.Helpers - null
16:39:06.593 [ApplicationImpl pooled thread 192] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:47:15.523 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - cucumber java
16:47:15.523 [ApplicationImpl pooled thread 212] INFO  com.browserstack.utils.Helpers - null
16:47:15.524 [ApplicationImpl pooled thread 212] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:58:11.774 [ApplicationImpl pooled thread 247] INFO  c.b.l.BrowserStackRunExtension - cucumber java
16:58:11.774 [ApplicationImpl pooled thread 247] INFO  com.browserstack.utils.Helpers - null
16:58:11.775 [ApplicationImpl pooled thread 247] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:13:03.811 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:13:03.811 [ApplicationImpl pooled thread 272] INFO  com.browserstack.utils.Helpers - null
17:13:03.813 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:13:44.507 [ApplicationImpl pooled thread 261] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:13:44.507 [ApplicationImpl pooled thread 261] INFO  com.browserstack.utils.Helpers - null
17:13:44.507 [ApplicationImpl pooled thread 261] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:14:26.182 [ApplicationImpl pooled thread 275] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:14:26.183 [ApplicationImpl pooled thread 275] INFO  com.browserstack.utils.Helpers - null
17:14:26.183 [ApplicationImpl pooled thread 275] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:15:17.237 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:15:17.237 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
17:15:17.238 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:15:49.923 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:15:49.923 [ApplicationImpl pooled thread 272] INFO  com.browserstack.utils.Helpers - null
17:15:49.923 [ApplicationImpl pooled thread 272] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:16:44.350 [ApplicationImpl pooled thread 340] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:16:44.350 [ApplicationImpl pooled thread 340] INFO  com.browserstack.utils.Helpers - null
18:16:44.352 [ApplicationImpl pooled thread 340] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:22:29.271 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:22:29.271 [ApplicationImpl pooled thread 344] INFO  com.browserstack.utils.Helpers - null
18:22:29.273 [ApplicationImpl pooled thread 344] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:26:50.181 [ApplicationImpl pooled thread 353] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:26:50.181 [ApplicationImpl pooled thread 353] INFO  com.browserstack.utils.Helpers - null
18:26:50.181 [ApplicationImpl pooled thread 353] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:28:59.196 [ApplicationImpl pooled thread 356] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:28:59.196 [ApplicationImpl pooled thread 356] INFO  com.browserstack.utils.Helpers - null
18:28:59.197 [ApplicationImpl pooled thread 356] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:31:35.265 [ApplicationImpl pooled thread 366] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:31:35.265 [ApplicationImpl pooled thread 366] INFO  com.browserstack.utils.Helpers - null
18:31:35.266 [ApplicationImpl pooled thread 366] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:31:40.645 [ApplicationImpl pooled thread 440] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:31:40.645 [ApplicationImpl pooled thread 440] INFO  com.browserstack.utils.Helpers - null
20:31:40.647 [ApplicationImpl pooled thread 440] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:32:49.211 [ApplicationImpl pooled thread 437] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:32:49.211 [ApplicationImpl pooled thread 437] INFO  com.browserstack.utils.Helpers - null
20:32:49.212 [ApplicationImpl pooled thread 437] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:34:14.623 [ApplicationImpl pooled thread 433] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:34:14.623 [ApplicationImpl pooled thread 433] INFO  com.browserstack.utils.Helpers - null
20:34:14.624 [ApplicationImpl pooled thread 433] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:35:05.385 [ApplicationImpl pooled thread 444] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:35:05.385 [ApplicationImpl pooled thread 444] INFO  com.browserstack.utils.Helpers - null
20:35:05.386 [ApplicationImpl pooled thread 444] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:36:53.896 [ApplicationImpl pooled thread 440] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:36:53.896 [ApplicationImpl pooled thread 440] INFO  com.browserstack.utils.Helpers - null
20:36:53.898 [ApplicationImpl pooled thread 440] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  com.browserstack.utils.Helpers - null
20:40:26.590 [ApplicationImpl pooled thread 452] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  com.browserstack.utils.Helpers - null
20:44:12.533 [ApplicationImpl pooled thread 451] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:45:01.065 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:45:01.065 [ApplicationImpl pooled thread 453] INFO  com.browserstack.utils.Helpers - null
20:45:01.066 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  com.browserstack.utils.Helpers - null
20:45:50.811 [ApplicationImpl pooled thread 457] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:46:12.512 [ApplicationImpl pooled thread 453] INFO  c.b.l.BrowserStackRunExtension - cucumber java
20:46:12.512 [ApplicationImpl pooled thread 453] INFO  com.browserstack.utils.Helpers - null
